university,field,first_name,last_name,title
"Berkeley","Economics","AARON","EDLIN","PROF-AY-LAW"
"Berkeley","Economics","ALAN","AUERBACH","PROF-AY-B/E/E"
"Berkeley","Economics","ANDRES","RODRIGUEZ-CLARE","PROF-AY-B/E/E"
"Berkeley","Economics","BARRY","EICHENGREEN","PROF-AY-B/E/E"
"Berkeley","Economics","BENJAMIN","HANDEL","ASSOC PROF-AY-B/E/E"
"Berkeley","Economics","BENJAMIN","SCHOEFER","ASST PROF-AY-B/E/E"
"Berkeley","Economics","BRYAN","GRAHAM","PROF-AY-B/E/E"
"Berkeley","Economics","CECILE","GAUBERT","ASST PROF-AY-B/E/E"
"Berkeley","Economics","CHRISTINA","ROMER","PROF-AY-B/E/E"
"Berkeley","Economics","CHRISTOPHER","WALTERS","ASSOC PROF-AY-B/E/E"
"Berkeley","Economics","DANNY","YAGAN","ASST PROF-AY-B/E/E"
"Berkeley","Economics","DAVID","CARD","PROF-AY-B/E/E"
"Berkeley","Economics","DAVID","ROMER","PROF-AY-B/E/E"
"Berkeley","Economics","DEMIAN","POUZO","ASSOC PROF-AY-B/E/E"
"Berkeley","Economics","DMITRY","TAUBINSKY","ASST PROF-AY-B/E/E"
"Berkeley","Economics","EDWARD","MIGUEL","PROF-AY-B/E/E"
"Berkeley","Economics","EMI","NAKAMURA","PROF-AY-B/E/E"
"Berkeley","Economics","EMMANUEL","SAEZ","PROF-AY-B/E/E"
"Berkeley","Economics","ENRICO","MORETTI","PROF-AY-B/E/E"
"Berkeley","Economics","FREDERICO","FINAN","PROF-AY-B/E/E"
"Berkeley","Economics","GABRIEL","ZUCMAN","ASST PROF-AY-B/E/E"
"Berkeley","Economics","GERARD","ROLAND","PROF-AY-B/E/E"
"Berkeley","Economics","HALUK","ERGIN","ASSOC PROF-AY-B/E/E"
"Berkeley","Economics","JAMES","POWELL","PROF-AY-B/E/E"
"Berkeley","Economics","JON","STEINSSON","PROF-AY-B/E/E"
"Berkeley","Economics","JOSEPH","FARRELL","PROF-AY-B/E/E"
"Berkeley","Economics","KEI","KAWAI","ASST PROF-AY-B/E/E"
"Berkeley","Economics","LISA","GOLDBERG","ADJ PROF-AY-B/E/E"
"Berkeley","Economics","MAURICE","OBSTFELD","PROF-AY-B/E/E"
"Berkeley","Economics","MICHAEL","JANSSON","PROF-AY-B/E/E"
"Berkeley","Economics","PATRICK","KLINE","PROF-AY-B/E/E"
"Berkeley","Economics","PIERRE-OLIVIER","GOURINCHAS","PROF-AY-B/E/E"
"Berkeley","Economics","SHACHAR","KARIV","PROF-AY-B/E/E"
"Berkeley","Economics","STEFANO","DELLAVIGNA","PROF-AY-B/E/E"
"Berkeley","Economics","ULRIKE","MALMENDIER","PROF-AY-B/E/E"
"Berkeley","Economics","YURIY","GORODNICHENKO","PROF-AY-B/E/E"
